"","date","m1","m3","p","rs","rff","rl","y","u"
"1960-01-01",1960-01-01,143.3,298.2,12.3915162203555,4.35,3.99,4.72,24.8958,5.2
"1960-02-01",1960-02-01,139.8,298.5,12.4083926469409,3.96,3.97,4.49,24.6743,4.8
"1960-03-01",1960-03-01,138.5,299.4,12.4083926469409,3.31,3.84,4.25,24.4528,5.4
"1960-04-01",1960-04-01,139.7,300.1,12.4632410333436,3.23,3.92,4.28,24.2589,5.2
"1960-05-01",1960-05-01,137.6,300.9,12.4758983532827,3.29,3.85,4.35,24.2312,5.1
"1960-06-01",1960-06-01,137.9,302.3,12.4927747798681,2.46,3.32,4.15,23.9266,5.4
"1960-07-01",1960-07-01,138.9,304.1,12.46746013999,2.3,3.23,3.9,23.8435,5.5
"1960-08-01",1960-08-01,139.4,306.9,12.4927747798681,2.3,2.98,3.8,23.8158,5.6
"1960-09-01",1960-09-01,140.5,308.4,12.4927747798681,2.48,2.6,3.8,23.5666,5.5
"1960-10-01",1960-10-01,141.2,309.5,12.5518422729171,2.3,2.47,3.89,23.5389,6.1
"1960-11-01",1960-11-01,142.3,310.9,12.5644995928562,2.37,2.44,3.93,23.2066,6.1
"1960-12-01",1960-12-01,144.5,312.4,12.5771569127953,2.25,1.98,3.84,22.7635,6.6
"1961-01-01",1961-01-01,144.5,314.1,12.5898142327344,2.24,1.45,3.84,22.7912,6.6
"1961-02-01",1961-02-01,141.6,316.5,12.5898142327344,2.42,2.54,3.78,22.7635,6.9
"1961-03-01",1961-03-01,140.6,318.3,12.5898142327344,2.39,2.02,3.74,22.902,6.9
"1961-04-01",1961-04-01,142.4,319.9,12.5771569127953,2.29,1.49,3.78,23.3727,7
"1961-05-01",1961-05-01,140.6,322.2,12.5898142327344,2.29,1.98,3.71,23.7327,7.1
"1961-06-01",1961-06-01,141.2,324.3,12.5898142327344,2.33,1.73,3.88,24.065,6.9
"1961-07-01",1961-07-01,141.5,325.6,12.6235670859052,2.24,1.17,3.92,24.342,7
"1961-08-01",1961-08-01,141.4,327.6,12.6320052991979,2.39,2,4.04,24.5635,6.6
"1961-09-01",1961-09-01,143.1,329.5,12.6488817257834,2.28,1.88,3.98,24.5358,6.7
"1961-10-01",1961-10-01,144.4,331.1,12.6488817257834,2.3,2.26,3.92,25.0066,6.5
"1961-11-01",1961-11-01,146.3,333.4,12.6488817257834,2.48,2.61,3.94,25.3943,6.1
"1961-12-01",1961-12-01,149.2,335.5,12.6615390457225,2.6,2.33,4.06,25.6158,6
"1962-01-01",1962-01-01,148.9,337.5,12.6741963656615,2.72,2.15,4.08,25.3943,5.8
"1962-02-01",1962-02-01,145.6,340.1,12.703730112186,2.73,2.37,4.04,25.8097,5.5
"1962-03-01",1962-03-01,144.6,343.1,12.7290447520642,2.72,2.85,3.93,25.9482,5.6
"1962-04-01",1962-04-01,146.7,345.5,12.7459211786496,2.73,2.78,3.84,26.0035,5.6
"1962-05-01",1962-05-01,144.5,347.5,12.7585784985887,2.69,2.36,3.87,25.9758,5.5
"1962-06-01",1962-06-01,144.8,349.3,12.7459211786496,2.73,2.68,3.91,25.9205,5.5
"1962-07-01",1962-07-01,145,350.8,12.750140285296,2.92,2.71,4.01,26.1697,5.4
"1962-08-01",1962-08-01,144.4,352.8,12.7754549251741,2.82,2.93,3.98,26.1974,5.7
"1962-09-01",1962-09-01,145.5,354.9,12.8345224182232,2.78,2.9,3.98,26.3635,5.6
"1962-10-01",1962-10-01,147,357.2,12.8176459916377,2.74,2.9,3.93,26.3912,5.4
"1962-11-01",1962-11-01,148.8,359.8,12.8176459916377,2.83,2.94,3.92,26.502,5.7
"1962-12-01",1962-12-01,151.9,362.7,12.8176459916377,2.87,2.93,3.86,26.502,5.5
"1963-01-01",1963-01-01,152.1,365.2,12.8429606315159,2.91,2.92,3.83,26.6958,5.7
"1963-02-01",1963-02-01,148.7,367.9,12.8598370581013,2.92,3,3.92,27.0005,5.9
"1963-03-01",1963-03-01,147.8,370.7,12.8724943780404,2.89,2.98,3.93,27.1666,5.7
"1963-04-01",1963-04-01,150,373.3,12.8598370581013,2.9,2.9,3.97,27.4159,5.7
"1963-05-01",1963-05-01,147.9,376.1,12.8724943780404,2.93,3,3.93,27.7482,5.9
"1963-06-01",1963-06-01,148.7,378.4,12.914685444504,2.99,2.99,3.99,27.8313,5.6
"1963-07-01",1963-07-01,149.9,381.1,12.9484382976748,3.18,3.02,4.02,27.7205,5.6
"1963-08-01",1963-08-01,149.5,383.6,12.973752937553,3.32,3.49,4,27.7759,5.4
